Tite,Year,Certification,duration,genre,rating
Cobra Kai,2018,certificate,30,Action,8.5
The Crown,2016,TV-14,58,Biography,8.7
Better Call Saul,2015,TV-MA,46,Crime,8.9
Devil in Ohio,2022,TV-MA,356,Drama,5.9
Cyberpunk: Edgerunners,2022,TV-MA,24,Animation,8.6
The Sandman,2022,TV-MA,45,Drama,7.8
Rick and Morty,2013,TV-MA,23,Animation,9.2
Breaking Bad,2008,TV-MA,49,Crime,9.5
The Imperfects,2022,TV-MA,45,Action,6.3
Blonde,2022,TV-MA,166,Biography,6.2
Stranger Things,2016,NC-17,51,Drama,8.7
End of the Road,2022,TV-14,89,Action,4.7
The Walking Dead,2010,R,44,Drama,8.1
Glass Onion: A Knives Out Mystery,2022,TV-MA,139,Crime,8.1
Do Revenge,2022,PG-13,118,Comedy,6.4
I Came By,2022,TV-MA,110,Thriller,6.1
No Limit,2022,TV-MA,118,Drama,5.8
1899,2022,TV-MA,60,Drama,9.6
Peaky Blinders,2013,,60,Crime,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,TV-MA,178,Action,8.8
Grey's Anatomy,2005,PG-13,41,Drama,7.6
Supernatural,2005,TV-14,44,Drama,8.4
American Horror Story,2011,TV-14,60,Drama,8
The Accidental Narco,2022,TV-MA,50,Action,7.4
NCIS,2003,TV-MA,60,Action,7.8
Friends,1994,TV-14,22,Comedy,8.9
Shameless,2011,TV-14,46,Comedy,8.6
Modern Family,2009,TV-MA,22,Comedy,8.5
Ozark,2017,TV-PG,60,Crime,8.5
Echoes,2022,TV-MA,326,Drama,5.9
The Gray Man,2022,TV-MA,122,Action,6.5
Me Time,2022,PG-13,101,Comedy,5
Suits,2011,R,44,Comedy,8.5
Vikings,2013,TV-14,44,Action,8.5
The Witcher,2019,TV-MA,60,Action,8.2
The Blacklist,2013,TV-MA,43,Crime,8
Seinfeld,1989,TV-14,22,Comedy,8.9
Lucifer,2016,TV-PG,42,Crime,8.1
The Umbrella Academy,2019,TV-14,60,Action,7.9
The Last Kingdom,2015,TV-14,60,Action,8.5
Partner Track,2022,TV-MA,60,Drama,6.8
Love in the Villa,2022,TV-MA,114,Comedy,5.3
Black Mirror,2011,TV-14,60,Drama,8.8
Brooklyn Nine-Nine,2013,TV-MA,22,Comedy,8.4
Squid Game,2021,TV-14,55,Action,8
Gilmore Girls,2000,TV-MA,44,Comedy,8.2
Outlander,2014,TV-PG,60,Drama,8.4
Ófærð,2015,TV-MA,60,Crime,8
Never Have I Ever,2020,TV-14,30,Comedy,7.9
Attack on Titan,2013,TV-14,24,Animation,9
Manifest,2018,TV-MA,43,Drama,7.1
Locke & Key,2020,TV-14,48,Drama,7.3
Day Shift,2022,TV-14,113,Action,6.1
Dark,2017,R,60,Crime,8.7
Sex Education,2019,,45,Comedy,8.4
The Lord of the Rings: The Return of the King,2003,TV-MA,201,Action,9
The Vampire Diaries,2009,PG-13,43,Drama,7.7
Virgin River,2019,TV-14,44,Drama,7.4
Family Guy,1999,TV-14,22,Animation,8.2
Fargo,2014,TV-MA,53,Crime,8.9
Animal Kingdom,2016,TV-MA,60,Crime,8.2
Diario de un Gigoló,2022,TV-MA,50,Drama,6.3
How I Met Your Mother,2005,TV-MA,22,Comedy,8.3
Heartbreak High,2022,PG-13,50,Drama,7.6
Community,2009,,22,Comedy,8.5
Daredevil,2015,TV-14,54,Action,8.6
Blue Bloods,2010,TV-MA,43,Crime,7.7
Bee and PuppyCat,2013,TV-14,7,Animation,8.2
Loving Adults,2022,TV-PG,104,Crime,6.5
Schitt's Creek,2015,TV-MA,22,Comedy,8.5
Sing 2,2021,TV-14,110,Animation,7.4
RRR,2022,PG,187,Action,8
Arcane,2021,Not Rated,41,Animation,9
The Lørenskog Disappearance,2021,TV-14,,Documentary,6.1
The Lord of the Rings: The Two Towers,2002,TV-MA,179,Action,8.8
All Quiet on the Western Front,2022,PG-13,147,Action,8.3
American Psycho,2000,PG-13,102,Crime,7.6
The Hobbit: An Unexpected Journey,2012,R,169,Adventure,7.8
Kleo,2022,PG-13,44,Action,7.5
Riverdale,2017,TV-MA,45,Crime,6.6
Sons of Anarchy,2008,TV-14,45,Crime,8.6
Mad Men,2007,TV-MA,47,Drama,8.7
The Flash,2014,TV-14,43,Action,7.6
Archer,2009,TV-PG,22,Animation,8.6
Dahmer - Monster: The Jeffrey Dahmer Story,2022,TV-MA,534,Biography,8.5
Mr. Robot,2015,TV-MA,49,Crime,8.6
That '70s Show,1998,TV-MA,22,Comedy,8.1
You,2018,TV-14,45,Crime,7.7
Look Both Ways,2022,TV-MA,110,Comedy,6.3
365 Days,2020,TV-14,114,Drama,3.3
I Used to Be Famous,2022,TV-MA,104,Comedy,6.6
Titanic,1997,TV-14,194,Drama,7.9
Bridgerton,2020,PG-13,60,Drama,7.3
Sherlock,2010,TV-MA,88,Crime,9.1
Dexter,2006,TV-14,53,Crime,8.7
New Girl,2011,TV-MA,22,Comedy,7.7
The Expanse,2015,TV-14,60,Drama,8.5
Purple Hearts,2022,TV-14,122,Drama,6.7
The Gentlemen,2019,TV-14,113,Action,7.8
The Good Doctor,2017,R,41,Drama,8.1
Downton Abbey,2010,TV-14,58,Drama,8.7
